Attractor,Associated Cell Fate,Attractor Type,Basin Ratio,Attractor length,atwozero,aa,ac,andthreefour,apc,arf,arhgaptwo,askone,actin,akt,arptwothree,brcaone,barrestin,bparvin,chkone,ca,cam,camk,camkk,cas,caspthree,caspeight,caspnine,cbp,cdctwozero,cdcfourtwo,cdhone,crk,csk,cyclina,cyclinb,cyclind,cycline,cytochromec,dag,dgk,dockoneeightzero,daxx,ecad,egfr,erk,fadd,fak,fasr,frizzled,fyn,gck,gefhone,grk,gaonetwoonethree,gabone,gai,gaq,gas,gbgonetwoonethree,gbgi,gbgq,gbgs,graf,grbtwo,ikk,ilonetnfr,ilk,ipthree,ipthreerone,ikb,integrins,larg,mkkthree,mkksix,mkkseven,mkps,mlck,mlcp,mlkone,mlktwo,mlkthree,mmp,mek,mekkone,mekktwo,mekkthree,mekkfour,myc,myosin,nfkappab,nik,nck,pa,pak,pdefour,pdkone,pithreek,pifourk,pifivek,piptwothreefour,piptwofourfive,pipthreethreefourfive,pipfour,pka,pkc,pkcprimed,platwo,plcb,plcg,pld,pptwoa,pten,ptponeb,ptppest,ptpa,palphaonetwoonethreer,palphair,palphaqr,palphasr,pixcool,rgs,rkip,rac,raf,rafdep,rafloc,rafrest,ral,ralbpone,ralgds,rapone,ras,rasgrfgrp,rho,rhogdi,rhok,sapk,shptwo,sekone,shc,slug,smac,smadtwo,smadtwofour,snail,sos,src,stathmin,takone,taoonetwo,tgfr,tabonetwo,talin,tiam,tpltwo,trafs,trio,trx,vavtwo,vinc,wasp,xiap,alphaonetwoonethreer,alphair,alphaqr,alphasr,atm,bax,bcltwo,betacatenin,camp,cycg,etwofone,mdmtwo,mdmx,ponefiverhogef,ponetwozerorasgap,ponefourarf,ponefive,poneninezerorhogap,poneninezerorhogef,ptwoone,ptwoseven,pthreeeight,pfivethree,pninezerorsk,rb,wipone,ecm,extpump,egf,fas,wnt,alphaslig,ilonetnf,stress,tgfb,alphaonetwoonethreelig,alphailig,alphaqlig,dnadamage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NormalProliferation,Cyclic,0.07031,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2,NormalProliferation,Cyclic,0.05469,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3,NormalProliferation,Cyclic,0.04688,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4,NormalProliferation,Cyclic,0.04297,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
5,NormalProliferation,Cyclic,0.02734,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6,NormalProliferation,Cyclic,0.02734,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7,NormalProliferation,Cyclic,0.02734,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
8,NormalProliferation,Cyclic,0.02344,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9,NormalProliferation,Cyclic,0.02344,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
